country,country_num,year,iso3,devlev2,china,bndgrn,x1l,x2l,envtax,gdpg,bigtech,ngain,rating,riskeqt,riskctr,dum9,dum12,fie,cbmndsq,cbmnd,cbenfsq,cbenf,cbsyssq,cbsys,wui,gprlog,infl,enrgoil,prodstr,hierarchy,openness,purity,bndgrn_bet,cbmnd_bet,infl_bet,rating_bet,fie_bet,gdpg_bet,dum9_bet,dum12_bet,bndgrn_wi,cbmnd_wi,infl_wi,rating_wi,fie_wi,gdpg_wi,dum9_wi,dum12_wi,bndgrn_fd,cbmnd_fd,infl_fd,rating_fd,fie_fd,gdpg_fd,dum9_fd,dum12_fd,bndgrn_twfe,cbmnd_twfe,infl_twfe,rating_twfe,fie_twfe,gdpg_twfe,dum9_twfe,dum12_twfe
Colombia,Colombia,2018,COL,High income,0,-1.767584085464478,,-1.767584085464478,0.66476305553618,2.564324282777037,0.0099999997764825,48.4428376693981,3.0,0.0860204914747665,0.0264204914747665,0,0,0.6620117575407028,16.0,4.0,36.0,6.0,4.0,2.0,0.3840000033378601,5.035384178161621,3.349999904632568,34.77099990844727,-0.6879079341888428,2.9,,0.299047,-1.9858016669750214,4.0,3.182499945163727,3.0,0.6620982950253488,-0.9745430183309338,0.0,0.0,0.21821758151054338,0.0,0.1674999594688411,0.0,-8.653748464593214e-05,3.5388673011079708,0.0,0.0,1.2099862098693839,0.0,-1.710000038146973,0.0,0.012980622696876498,1.204963414889577,0.0,0.0,,,,,,,,
Colombia,Colombia,2020,COL,High income,0,-2.571064710617065,,-2.571064710617065,0.55880378432096,-6.847314205657298,,,3.0,0.065635656450951,0.018435656450951,0,0,0.6752519926915169,16.0,4.0,36.0,6.0,4.0,2.0,0.229750007390976,5.258591651916504,2.25,32.11399841308594,-0.4594013094902039,2.9,,0.299047,-1.9858016669750214,4.0,3.182499945163727,3.0,0.6620982950253488,-0.9745430183309338,0.0,0.0,-0.5852630436420436,0.0,-0.9324999451637268,0.0,0.01315369766616814,-5.872771187326364,0.0,0.0,-0.803480625152587,0.0,-1.099999904632568,0.0,0.013240235150814073,-9.411638488434335,0.0,0.0,,,,,,,,
Colombia,Colombia,2021,COL,High income,0,-0.6269875764846802,-0.9644500017166138,-0.0884035602211952,0.5755678978505888,,,,3.0,0.0612246574388315,0.0188246574388315,0,0,,16.0,4.0,36.0,6.0,4.0,2.0,0.3740000128746033,5.353901863098145,2.069999933242798,36.44800186157227,-0.6564322710037231,2.9,,0.299047,-1.9858016669750214,4.0,3.182499945163727,3.0,0.6620982950253488,-0.9745430183309338,0.0,0.0,1.3588140904903412,0.0,-1.112500011920929,0.0,,,0.0,0.0,1.9440771341323848,0.0,-0.18000006675720215,0.0,,,0.0,0.0,,,,,,,,
Denmark,Denmark,2015,DNK,High income,0,-0.4782253205776215,,-0.4782252907752991,3.9905986170799,2.34259110757047,0.0099999997764825,72.8926967834581,4.0,0.0625,0.01,1,1,0.8164637088775635,36.0,6.0,36.0,6.0,1.0,1.0,0.3474999964237213,4.813110828399658,-19.07999992370605,45.36600112915039,0.1466067135334015,1.86,,0.222793,0.8497520859042803,6.0,-0.17833327253659473,4.0,0.848886076750946,1.4912398668250173,1.0,1.0,-1.3279774064819019,0.0,-18.901666651169457,0.0,-0.032422367873382485,0.8513512407454527,0.0,0.0,,,,,,,,,,,,,,,,
Denmark,Denmark,2017,DNK,High income,0,0.6836946606636047,,0.6836946606636047,3.6603221199943,2.821736341290261,0.0099999997764825,71.747975090636,4.0,0.0508,0.01,1,1,0.8359263253211975,36.0,6.0,36.0,6.0,1.0,1.0,0.3675000071525574,4.800258159637451,14.47000026702881,43.51200103759766,0.0519979633390903,1.86,,0.222793,0.8497520859042803,6.0,-0.17833327253659473,4.0,0.848886076750946,1.4912398668250173,1.0,1.0,-0.16605742524067557,0.0,14.648333539565405,0.0,-0.012959751429748478,1.3304964744652437,0.0,0.0,1.1619199812412262,0.0,33.55000019073486,0.0,0.019462616443634007,0.479145233719791,0.0,0.0,,,,,,,,
Denmark,Denmark,2018,DNK,High income,0,-0.1636030524969101,,-0.1636030375957489,3.61640757694,2.175646388653192,0.0099999997764825,71.7037700973791,4.0,0.0596,0.01,1,1,0.8526448518276214,36.0,6.0,36.0,6.0,1.0,1.0,0.1712500005960464,5.035384178161621,0.6499999761581421,44.59299850463867,0.0530873462557792,1.86,,0.222793,0.8497520859042803,6.0,-0.17833327253659473,4.0,0.848886076750946,1.4912398668250173,1.0,1.0,-1.0133551384011903,0.0,0.8283332486947368,0.0,0.0037587750766754358,0.6844065218281745,0.0,0.0,-0.8472977131605148,0.0,-13.820000290870668,0.0,0.016718526506423914,-0.6460899526370691,0.0,0.0,,,,,,,,
Denmark,Denmark,2019,DNK,High income,0,2.514274597167969,,2.514274597167969,3.2921394018163,2.849514441196703,0.0099999997764825,71.5583835591039,4.0,0.052,0.01,1,1,0.8696977488641738,36.0,6.0,36.0,6.0,1.0,1.0,0.3212499916553497,5.07627010345459,0.7599999904632568,45.58599853515625,0.0687057971954345,1.86,,0.222793,0.8497520859042803,6.0,-0.17833327253659473,4.0,0.848886076750946,1.4912398668250173,1.0,1.0,1.664522511263689,0.0,0.9383332629998515,0.0,0.020811672113227875,1.3582745743716855,0.0,0.0,2.6778776496648793,0.0,0.11000001430511475,0.0,0.01705289703655244,0.673868052543511,0.0,0.0,,,,,,,,
Denmark,Denmark,2020,DNK,High income,0,0.5595729351043701,,0.5595729351043701,3.1650903526902,-2.733288944585539,,,4.0,0.0472,0.01,1,1,0.8696977488641738,36.0,6.0,36.0,6.0,1.0,1.0,0.3355000019073486,5.258591651916504,0.9300000071525574,42.40499877929688,0.1143792122602463,1.86,,0.222793,0.8497520859042803,6.0,-0.17833327253659473,4.0,0.848886076750946,1.4912398668250173,1.0,1.0,-0.2901791507999102,0.0,1.108333279689152,0.0,0.020811672113227875,-4.224528811410556,0.0,0.0,-1.954701662063599,0.0,0.17000001668930054,0.0,0.0,-5.582803385782242,0.0,0.0,,,,,,,,
Denmark,Denmark,2021,DNK,High income,0,1.98279869556427,,1.98279869556427,3.260043063270906,,,,4.0,0.0424,0.01,1,1,,36.0,6.0,36.0,6.0,1.0,1.0,0.1825000047683716,5.353901863098145,1.200000047683716,39.76699829101563,0.2347522228956223,1.86,,0.222793,0.8497520859042803,6.0,-0.17833327253659473,4.0,0.848886076750946,1.4912398668250173,1.0,1.0,1.1330466096599898,0.0,1.3783333202203107,0.0,,,0.0,0.0,1.4232257604599,0.0,0.27000004053115867,0.0,,,0.0,0.0,,,,,,,,
Finland,Finland,2016,FIN,High income,0,0.0,,0.0,3.0843424332935,2.811457766634334,0.0099999997764825,73.6417135342266,4.0,0.0625425023881587,0.0056425023881587,1,1,0.8840968012809753,25.0,5.0,36.0,6.0,1.0,1.0,0.2437499910593033,4.723831653594971,0.959999978542328,34.17300033569336,-0.4134780764579773,1.8,50.33,0.139486,0.2846443578600884,5.0,0.8933333357175192,4.0,0.9164222094455721,1.162993649820274,1.0,1.0,-0.2846443578600884,0.0,0.06666664282480883,0.0,-0.032325408164596725,1.6484641168140601,0.0,0.0,,,,,,,,,,,,,,,,
