country,country_num,year,iso3,devlev2,china,bndgrn,x1l,x2l,envtax,gdpg,bigtech,ngain,rating,riskeqt,riskctr,dum9,dum12,fie,cbmndsq,cbmnd,cbenfsq,cbenf,cbsyssq,cbsys,wui,gprlog,infl,enrgoil,prodstr,hierarchy,openness,purity
Singapore,Singapore,2020,SGP,High income,0,0.4170905947685242,,0.4170905947685242,0.2657668786661406,-5.391021406105594,,,4.0,0.0472,0.01,0,0,0.8924591877336503,,,,,,,0.1312499940395355,5.258591651916504,-0.1599999964237213,85.97599792480469,0.7413548827171326,2.82,,0.363246
Singapore,Singapore,2021,SGP,High income,0,1.717136979103088,,1.717136979103088,0.2737398850261248,,,,4.0,0.0424,0.01,0,0,,,,,,,,0.242249995470047,5.353901863098145,0.9300000071525574,84.79199981689453,0.5153486132621765,2.82,,0.363246
Slovak Rep.,Slovak Rep.,2021,SVK,High income,0,-0.7922117710113525,,-0.7922118306159973,,,,,4.0,0.05078634028080647,0.008386340280806474,1,1,,25.0,5.0,36.0,6.0,0.0,0.0,0.2737500071525574,5.353901863098145,4.110000133514404,24.88500022888184,-0.5365222096443176,2.0,52.53,0.087536
Slovenia,Slovenia,2018,SVN,High income,0,-2.466188192367554,,-2.466188192367554,4.1076487010194,4.38450172090073,0.009999999776482582,65.6486341828417,3.0,0.08176316109494633,0.02216316109494632,1,1,0.8369602346420288,16.0,4.0,36.0,6.0,0.0,0.0,0.1694999933242798,5.035384178161621,1.200000047683716,38.23500061035156,-0.7995560765266418,1.62,50.5,-0.00483
South Africa,South Africa,2014,ZAF,High income,0,-2.3361976146698,,-2.3361976146698,2.3331061325586,1.846991603657159,0.009999999776482582,48.4274155717583,3.0,0.086,0.0285,0,0,0.7661750912666321,9.0,3.0,36.0,6.0,0.0,0.0,0.4950000047683716,4.438490390777588,5.590000152587891,21.70000076293945,-0.0392504446208477,2.59,49.01,0.255015
South Africa,South Africa,2017,ZAF,High income,0,-2.713263750076294,,-2.713263750076294,2.777053859253,1.414512625850577,0.009999999776482582,48.2755750017286,3.0,0.07617665749578408,0.02537665749578408,0,0,0.7889665603637696,9.0,3.0,36.0,6.0,0.0,0.0,1.342749953269958,4.800258159637451,4.75,22.43000030517578,-0.006746280007064342,2.59,49.01,0.255015
South Africa,South Africa,2018,ZAF,High income,0,-2.617953538894653,,-2.617953538894653,2.819361973106,0.7870555704950988,0.009999999776482582,48.0290784325355,3.0,0.09015260625518023,0.03055260625518023,0,0,0.8047458915710449,9.0,3.0,36.0,6.0,0.0,0.0,0.6190000176429749,5.035384178161621,4.260000228881836,23.27099990844727,-0.02097013965249062,2.59,49.01,0.255015
South Africa,South Africa,2019,ZAF,High income,0,-1.734185695648193,,-1.734185695648193,2.9437922375742,0.1525833166642343,0.009999999776482582,47.9603391552334,3.0,0.07370971875484328,0.02170971875484328,0,0,0.8208408094024658,9.0,3.0,36.0,6.0,0.0,0.0,1.023499965667725,5.07627010345459,4.139999866485596,22.01000022888184,-0.01304080802947283,2.59,49.01,0.255015
South Africa,South Africa,2020,ZAF,High income,0,-1.609437942504883,,-1.609437942504883,3.032106004701426,-6.959604452189637,,,3.0,0.07629513553633499,0.02909513553633499,0,0,0.8208408094024658,9.0,3.0,36.0,6.0,0.0,0.0,0.4575000107288361,5.258591651916504,3.339999914169312,19.47100067138672,0.03266150876879692,2.59,49.01,0.255015
South Africa,South Africa,2021,ZAF,High income,0,-2.518519639968872,,-2.518519639968872,3.123069184842469,,,,3.0,0.07210905652668677,0.02970905652668676,0,0,,9.0,3.0,36.0,6.0,0.0,0.0,0.3702499866485596,5.353901863098145,3.119999885559082,20.90999984741211,-0.1406024694442749,2.59,49.01,0.255015
